subID, block_state, block_number, trial_encoding, trial_retrieval, trial_total_enc, trial_total_ret, object_name, object_number, object_percep, object_category, context_name, context_number, context_category, RT_encoding, cue_retrieval, RT_reinstatement, catch_trial_type, acc_catch, RT_catch_trial, catch_trial_2_type, acc_catch_2, RT_catch__2_trial, total_responses_distractor, accuracy_distractor, OnsetEncodingBlockStart, WordOnsetEncoding, ObjectContextOnset, ResponseEncodingOnset, OnsetRetrievalBlockStart, CueRetrievalOnset, ResponseRetrievalOnset, CatchTrialOnset, ResponseCatchOnset, CatchTrialOnset_2, ResponseCatchOnset_2, episode_remembered, OnsetEnd
HS, encoding,1,1,0,1,0, apple,1,2,5, ,0,0,0, forge,0, NO,2,0, NO,2,0,0,0,29.060757,33.506473,36.585416, , , , , , , , , , 
HS, encoding,1,2,0,2,0, sock02,14,2,8, ,0,0,2.375054, locate,0, NO,2,0, NO,2,0,0,0,29.060757,44.489444,47.768271,50.149761, , , , , , , , , 
HS, encoding,1,3,0,3,0, pidgeon,13,1,2, ,0,0,4.449024, wrap,0, NO,2,0, NO,2,0,0,0,29.060757,51.233782,54.006253,58.460939, , , , , , , , , 
HS, encoding,1,4,0,4,0, pomegranate,14,2,5, ,0,0,2.729249, fall,0, NO,2,0, NO,2,0,0,0,29.060757,59.697687,62.390018,65.124576, , , , , , , , , 
HS, encoding,1,5,0,5,0, mushrooms,11,1,7, ,0,0,5.54748, agitate,0, NO,2,0, NO,2,0,0,0,29.060757,66.495419,69.547734,75.100472, , , , , , , , , 
HS, encoding,1,6,0,6,0, giraffe,7,2,3, ,0,0,5.86536, drop,0, NO,2,0, NO,2,0,0,0,29.060757,75.758931,79.277827,85.148415, , , , , , , , , 
HS, encoding,1,7,0,7,0, piranha,9,1,4, ,0,0,4.953913, hop,0, NO,2,0, NO,2,0,0,0,29.060757,85.862186,88.901144,93.860424, , , , , , , , , 
HS, encoding,1,8,0,8,0, butterfly,4,1,1, ,0,0,4.983448, move,0, NO,2,0, NO,2,0,0,0,29.060757,95.405653,97.951559,102.940348, , , , , , , , , 
HS, retrieval,1,0,1,8,1, apple,1,2,5, town_riff,28,2,0, forge,5.79539, perceptual,3,4.150564, semantic_animated,3,1.581468,27,0.074074, , , , ,153.761002,166.87516,172.677021,176.231935,180.388619,180.93701,182.524593,1, 
HS, retrieval,1,0,2,8,2, mushrooms,11,1,7, old_bathroom,27,4,0, agitate,7.307657, semantic_animated,1,3.11925, perceptual,1,1.589824,27,0.074074, , , , ,153.761002,184.042777,191.355952,194.879139,198.004102,198.544535,200.139869,1, 
HS, retrieval,1,0,3,8,3, piranha,9,1,4, pharmacy,26,3,0, hop,2.860177, perceptual,1,2.398359, semantic_animated,1,1.396614,27,0.074074, , , , ,153.761002,201.570211,204.43563,207.96801,210.37162,210.913714,212.315598,1, 
HS, retrieval,1,0,4,8,4, pidgeon,13,1,2, ronda_road,22,2,0, wrap,1.672258, perceptual,1,3.610064, semantic_animated,1,1.435319,27,0.074074, , , , ,153.761002,214.046061,215.723569,219.244225,222.859566,223.402933,224.843517,1, 
HS, retrieval,1,0,5,8,5, pomegranate,14,2,5, bedroom_girly,5,4,0, fall,2.108205, semantic_animated,0,1.693961, perceptual,1,1.014883,27,0.074074, , , , ,153.761002,225.961996,228.075526,231.600196,233.299522,233.839336,234.859459,1, 
HS, retrieval,1,0,6,8,6, sock02,14,2,8, hardware_shop,18,3,0, locate,8.756682, perceptual,3,0.659655, semantic_animated,3,0.691911,27,0.074074, , , , ,153.761002,235.90541,244.667452,248.194498,248.859361,249.394132,250.091345,1, 
HS, retrieval,1,0,7,8,7, butterfly,4,1,1, paris,20,2,0, move,7.553832, semantic_animated,3,3.496257, perceptual,3,0.457536,27,0.074074, , , , ,153.761002,251.5402,259.099312,262.629685,266.131306,266.668469,267.131243,1, 
HS, retrieval,1,0,8,8,8, giraffe,7,2,3, paris_metro,23,3,0, drop,7.884889, perceptual,1,1.350044, semantic_animated,1,1.065359,27,0.074074, , , , ,153.761002,268.841013,276.731243,280.263806,281.619161,282.15652,283.227152,1, 
HS, encoding,2,1,0,9,8, crab,2,1,4, ,0,0,0, add,0, NO,2,0, NO,2,0,0,0,357.856613,361.610031,364.369089, , , , , , , , , , 
HS, encoding,2,2,0,10,8, ladybug,10,2,1, ,0,0,0, smooth,0, NO,2,0, NO,2,0,0,0,357.856613,372.273093,375.458721, , , , , , , , , , 
HS, encoding,2,3,0,11,8, eel,4,2,4, ,0,0,0, launch,0, NO,2,0, NO,2,0,0,0,357.856613,383.38942,386.228459, , , , , , , , , , 
HS, encoding,2,4,0,12,8, couliflower,7,1,7, ,0,0,0, tie,0, NO,2,0, NO,2,0,0,0,357.856613,394.119057,396.651629, , , , , , , , , , 
HS, encoding,2,5,0,13,8, grasshopper,9,2,1, ,0,0,0, bounce,0, NO,2,0, NO,2,0,0,0,357.856613,405.182047,408.274291, , , , , , , , , , 
HS, encoding,2,6,0,14,8, gamepad,5,1,6, ,0,0,0, pump,0, NO,2,0, NO,2,0,0,0,357.856613,415.925109,418.56429, , , , , , , , , , 
HS, encoding,2,7,0,15,8, hairdryer,6,1,6, ,0,0,0, jump,0, NO,2,0, NO,2,0,0,0,357.856613,426.921516,430.107104, , , , , , , , , , 
HS, encoding,2,8,0,16,8, penguin,12,1,2, ,0,0,0, stick,0, NO,2,0, NO,2,0,0,0,357.856613,438.104416,441.31669, , , , , , , , , , 
HS, retrieval,2,0,1,16,9, couliflower,7,1,7, rome_skyline,21,2,0, tie,1.530914, perceptual,1,1.458023, semantic_animated,1,1.402663,33,1, , , , ,498.831921,506.721514,508.257968,511.786359,513.249731,513.785713,515.193724,1, 
HS, retrieval,2,0,2,16,10, grasshopper,9,2,1, savana,25,1,0, bounce,5.814122, perceptual,0,1.614537, semantic_animated,0,0.927279,33,1, , , , ,498.831921,516.478212,522.29799,525.821796,527.441619,527.981046,528.913689,1, 
HS, retrieval,2,0,3,16,11, crab,2,1,4, canyon,4,1,0, add,6.194478, perceptual,1,1.992319, semantic_animated,1,1.635945,33,1, , , , ,498.831921,529.753784,535.953552,539.483876,541.481516,542.016268,543.657498,1, 
HS, retrieval,2,0,4,16,12, hairdryer,6,1,6, iceberg,16,1,0, jump,8.834384, perceptual,3,1.145089, semantic_animated,3,2.204209,33,1, , , , ,498.831921,545.401816,554.241409,557.771021,558.921373,559.463871,561.673399,0, 
HS, retrieval,2,0,5,16,13, eel,4,2,4, french,11,2,0, launch,2.125352, semantic_animated,1,1.305796, perceptual,1,0.709237,33,1, , , , ,498.831921,562.782723,564.913458,568.434222,569.745316,570.286912,571.001321,1, 
HS, retrieval,2,0,6,16,14, penguin,12,1,2, coffee_shop,9,3,0, stick,2.248538, semantic_animated,1,1.351918, perceptual,1,1.267128,33,1, , , , ,498.831921,572.499449,574.753284,578.284121,579.641276,580.176888,581.449263,1, 
HS, retrieval,2,0,7,16,15, gamepad,5,1,6, swimming_pool,31,3,0, pump,2.332002, semantic_animated,1,1.115293, perceptual,1,1.673266,33,1, , , , ,498.831921,583.175916,585.513233,589.040605,590.161188,590.70665,592.385162,1, 
HS, retrieval,2,0,8,16,16, ladybug,10,2,1, vienna,31,2,0, smooth,1.394017, perceptual,1,1.278434, semantic_animated,1,1.172314,33,1, , , , ,498.831921,593.345861,594.745359,598.277398,599.561132,600.103516,601.281126,1, 
HS, encoding,3,1,0,17,16, elephant,6,1,3, ,0,0,0, merge,0, NO,2,0, NO,2,0,0,0,620.558038,625.321737,628.134203, , , , , , , , , , 
HS, encoding,3,2,0,18,16, ant,1,1,1, ,0,0,0, spin,0, NO,2,0, NO,2,0,0,0,620.558038,636.131537,639.197172, , , , , , , , , , 
HS, encoding,3,3,0,19,16, coconut,5,1,5, ,0,0,0, whirl,0, NO,2,0, NO,2,0,0,0,620.558038,647.820893,650.619948, , , , , , , , , , 
HS, encoding,3,4,0,20,16, snail,14,1,1, ,0,0,0, catapult,0, NO,2,0, NO,2,0,0,0,620.558038,658.297366,661.243131, , , , , , , , , , 
HS, encoding,3,5,0,21,16, duck,3,2,2, ,0,0,0, blur,0, NO,2,0, NO,2,0,0,0,620.558038,669.347096,672.825969, , , , , , , , , , 
HS, encoding,3,6,0,22,16, shark,13,2,4, ,0,0,0, bring,0, NO,2,0, NO,2,0,0,0,620.558038,680.503327,683.475694, , , , , , , , , , 
HS, encoding,3,7,0,23,16, cockroach,6,2,1, ,0,0,0, give,0, NO,2,0, NO,2,0,0,0,620.558038,691.286412,694.53863, , , , , , , , , , 
HS, encoding,3,8,0,24,16, bowtie,2,1,8, ,0,0,0, twitch,0, NO,2,0, NO,2,0,0,0,620.558038,702.442694,705.708257, , , , , , , , , , 
HS, retrieval,3,0,1,24,17, ant,1,1,1, chessy_bedroom,6,4,0, spin,8.348625, perceptual,1,1.104579, semantic_animated,1,1.555749,34,1, , , , ,760.26401,763.782119,772.136126,775.658127,776.768052,777.310962,778.872005,1, 
HS, retrieval,3,0,2,24,18, duck,3,2,2, parking_sub,24,3,0, blur,2.775363, semantic_animated,1,2.406726, perceptual,1,0.703693,34,1, , , , ,760.26401,779.883371,782.663982,786.187908,788.599921,789.14695,789.855921,1, 
HS, retrieval,3,0,3,24,19, cockroach,6,2,1, foyer,13,4,0, give,1.741517, semantic_animated,1,1.239259, perceptual,1,0.901228,34,1, , , , ,760.26401,790.813165,792.559988,796.09131,797.335877,797.877339,798.783868,1, 
HS, retrieval,3,0,4,24,20, shark,13,2,4, cool_room,8,4,0, bring,2.605965, perceptual,1,1.901376, semantic_animated,1,0.912754,34,1, , , , ,760.26401,800.196579,802.807885,806.341189,808.24781,808.79379,809.711855,1, 
HS, retrieval,3,0,5,24,21, bowtie,2,1,8, corridor_home,8,2,0, twitch,1.590903, semantic_animated,1,1.416713, perceptual,1,1.225291,34,1, , , , ,760.26401,811.41958,813.015873,816.537815,817.959856,818.497187,819.727747,1, 
HS, retrieval,3,0,6,24,22, elephant,6,1,3, home_office,14,4,0, merge,2.570067, perceptual,1,1.585522, semantic_animated,1,0.892942,34,1, , , , ,760.26401,821.17635,823.751777,827.280854,828.871686,829.413424,830.311654,1, 
HS, retrieval,3,0,7,24,23, snail,14,1,1, geisser,14,1,0, catapult,14.810682, perceptual,3,0.670271, semantic_animated,3,0.657281,34,1, , , , ,760.26401,831.319682,846.135664,849.660017,850.335572,850.873002,851.535555,0, 
HS, retrieval,3,0,8,24,24, coconut,5,1,5, destroyed_living,11,4,0, whirl,2.297963, perceptual,1,1.641287, semantic_animated,1,1.031265,34,1, , , , ,760.26401,852.992333,855.29552,858.816926,860.463478,861.002927,862.039469,1, 
HS, encoding,4,1,0,25,24, computer mouse,4,1,6, ,0,0,0, compare,0, NO,2,0, NO,2,0,0,0,867.767725,884.261891,886.900994, , , , , , , , , , 
HS, encoding,4,2,0,26,24, grapes,6,1,5, ,0,0,0, peek,0, NO,2,0, NO,2,0,0,0,867.767725,894.725055,897.537338, , , , , , , , , , 
HS, encoding,4,3,0,27,24, pullover,10,1,8, ,0,0,0, wipe,0, NO,2,0, NO,2,0,0,0,867.767725,905.388161,908.680388, , , , , , , , , , 
HS, encoding,4,4,0,28,24, onions,12,1,7, ,0,0,0, decorate,0, NO,2,0, NO,2,0,0,0,867.767725,917.010814,920.223091, , , , , , , , , , 
HS, encoding,4,5,0,29,24, seaturtle,12,1,4, ,0,0,0, reduce,0, NO,2,0, NO,2,0,0,0,867.767725,927.92719,930.553059, , , , , , , , , , 
HS, encoding,4,6,0,30,24, jeans,9,1,8, ,0,0,0, plant,0, NO,2,0, NO,2,0,0,0,867.767725,938.27049,941.309396, , , , , , , , , , 
HS, encoding,4,7,0,31,24, hen,6,1,2, ,0,0,0, pick,0, NO,2,0, NO,2,0,0,0,867.767725,949.373442,952.279163, , , , , , , , , , 
HS, encoding,4,8,0,32,24, rhinoceros,13,1,3, ,0,0,0, inject,0, NO,2,0, NO,2,0,0,0,867.767725,959.929805,962.622339, , , , , , , , , , 
HS, retrieval,4,0,1,32,25, onions,12,1,7, volcano,30,1,0, decorate,2.281932, semantic_animated,1,1.446521, perceptual,1,0.940522,33,1, , , , ,1018.110859,1023.6152,1025.902434,1029.426612,1030.878494,1031.412581,1032.358429,1, 
HS, retrieval,4,0,2,32,26, hen,6,1,2, luxury_kitchen,25,4,0, pick,9.463837, perceptual,1,1.596132, semantic_animated,1,1.066081,33,1, , , , ,1018.110859,1033.58521,1043.054355,1046.580854,1048.182339,1048.726893,1049.798278,1, 
HS, retrieval,4,0,3,32,27, seaturtle,12,1,4, baby_room,2,4,0, reduce,3.256486, semantic_animated,1,1.631999, perceptual,1,2.795295,33,1, , , , ,1018.110859,1051.472511,1054.734243,1058.256928,1059.89429,1060.429642,1063.230208,1, 
HS, retrieval,4,0,4,32,28, rhinoceros,13,1,3, myst,20,1,0, inject,1.583453, perceptual,1,1.289126, semantic_animated,1,0.969816,33,1, , , , ,1018.110859,1064.881484,1066.470185,1069.999757,1071.294141,1071.839029,1072.814154,1, 
HS, retrieval,4,0,5,32,29, pullover,10,1,8, dune,10,1,0, wipe,1.698377, semantic_animated,1,1.249372, perceptual,1,2.089932,33,1, , , , ,1018.110859,1073.838487,1075.542107,1079.063409,1080.318147,1080.862838,1082.95809,1, 
HS, retrieval,4,0,6,32,30, jeans,9,1,8, home_office_2,15,4,0, plant,5.242888, semantic_animated,3,0.544563, perceptual,3,0.803581,33,1, , , , ,1018.110859,1083.74184,1088.990033,1092.51217,1093.06201,1093.605166,1094.414041,0, 
HS, retrieval,4,0,7,32,31, grapes,6,1,5, cadena_montaje,3,3,0, peek,4.694721, semantic_animated,1,1.070823, perceptual,1,1.377988,33,1, , , , ,1018.110859,1095.377945,1100.077958,1103.601854,1104.677913,1105.214625,1106.597934,1, 
HS, retrieval,4,0,8,32,32, computer mouse,4,1,6, home_stairs_1,16,4,0, compare,6.157608, semantic_animated,3,1.211441, perceptual,3,0.684078,33,1, , , , ,1018.110859,1107.866988,1114.029855,1117.557103,1118.773837,1119.316594,1120.005861,0, 
HS, encoding,5,1,0,33,32, hat,7,2,8, ,0,0,0, push,0, NO,2,0, NO,2,0,0,0,1183.463333,1188.000337,1191.279194, , , , , , , , , , 
HS, encoding,5,2,0,34,32, satellite dish,15,2,6, ,0,0,0, cross,0, NO,2,0, NO,2,0,0,0,1183.463333,1198.943333,1202.275483, , , , , , , , , , 
HS, encoding,5,3,0,35,32, scorpion,13,2,1, ,0,0,0, detect,0, NO,2,0, NO,2,0,0,0,1183.463333,1210.765955,1213.405135, , , , , , , , , , 
