subID	 block_state	 block_number	 trial_encoding	 trial_retrieval	 trial_total_enc	 trial_total_ret	 object_name	 object_number	 object_percep	 object_category	 context_name	 context_number	 context_category	 RT_encoding	 cue_retrieval	 RT_reinstatement	 catch_trial_type	 acc_catch	 RT_catch_trial	 catch_trial_2_type	 acc_catch_2	 RT_catch__2_trial	 total_responses_distractor	 accuracy_distractor	 OnsetEncodingBlockStart	 WordOnsetEncoding	 ObjectContextOnset	 ResponseEncodingOnset	 OnsetRetrievalBlockStart	 CueRetrievalOnset	 ResponseRetrievalOnset	 CatchTrialOnset	 ResponseCatchOnset	 CatchTrialOnset_2	 ResponseCatchOnset_2	 episode_remembered	 OnsetEnd
MCD	 encoding	 1	 1	 0	 1	 0	 horse	 9	 1	 3	 	 0	 0	 4.833133	 flash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 14.549593	 17.516176	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 2	 0	 2	 0	 kiwi	 7	 2	 5	 	 0	 0	 0.000000	 hold	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 23.632551	 26.349213	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 3	 0	 3	 0	 lettuce	 10	 2	 7	 	 0	 0	 0.000000	 join	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 34.765809	 38.115666	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 4	 0	 4	 0	 jeans	 9	 2	 8	 	 0	 0	 0.000000	 wash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 45.848733	 48.748542	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 5	 0	 5	 0	 pelican	 11	 1	 2	 	 0	 0	 0.000000	 spread	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 56.598322	 59.631619	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 6	 0	 6	 0	 fly	 8	 1	 1	 	 0	 0	 0.000000	 hit	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 67.898129	 71.131345	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 7	 0	 7	 0	 antelope	 1	 2	 3	 	 0	 0	 0.000000	 warm	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 79.731008	 82.814354	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 encoding	 1	 8	 0	 8	 0	 carrots	 5	 1	 7	 	 0	 0	 0.000000	 inject	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 10.915780	 90.697448	 94.230623	 22.355672	 	 	 	 	 	 	 	 	 
MCD	 retrieval	 1	 0	 1	 8	 1	 pelican	 11	 1	 2	 old_bathroom	 27	 4	 0.000000	 spread	 4.684365	 semantic_animated	 1.000000	 2.050499	 perceptual	 1.000000	 1.617992	 35	 0.971429	 	 	 	 	 162.379583	 166.878578	 171.569247	 175.128342	 177.184956	 177.744919	 179.369203	 1.000000	 
MCD	 retrieval	 1	 0	 2	 8	 2	 kiwi	 7	 2	 5	 library	 20	 3	 0.000000	 hold	 8.003064	 perceptual	 1.000000	 1.062084	 semantic_animated	 1.000000	 1.181423	 35	 0.971429	 	 	 	 	 162.379583	 181.111601	 189.120141	 192.644583	 193.712311	 194.261139	 195.448090	 1.000000	 
MCD	 retrieval	 1	 0	 3	 8	 3	 lettuce	 10	 2	 7	 pool_room	 28	 4	 0.000000	 join	 7.063322	 perceptual	 1.000000	 1.278159	 semantic_animated	 1.000000	 2.740834	 35	 0.971429	 	 	 	 	 162.379583	 197.211139	 204.279747	 208.044197	 209.327679	 209.877539	 212.623611	 1.000000	 
MCD	 retrieval	 1	 0	 4	 8	 4	 jeans	 9	 2	 8	 chernobil	 6	 2	 0.000000	 wash	 8.348336	 perceptual	 1.000000	 3.481159	 semantic_animated	 1.000000	 1.367763	 35	 0.971429	 	 	 	 	 162.379583	 213.493872	 221.847498	 225.376896	 228.863355	 229.410265	 230.783333	 1.000000	 
MCD	 retrieval	 1	 0	 5	 8	 5	 carrots	 5	 1	 7	 rome_skyline	 21	 2	 0.000000	 inject	 6.301773	 perceptual	 1.000000	 1.052769	 semantic_animated	 1.000000	 3.012616	 35	 0.971429	 	 	 	 	 162.379583	 231.660156	 237.967212	 241.493108	 242.551191	 243.093214	 246.111096	 1.000000	 
MCD	 retrieval	 1	 0	 6	 8	 6	 antelope	 1	 2	 3	 granada	 12	 2	 0.000000	 warm	 5.016642	 perceptual	 1.000000	 0.778952	 semantic_animated	 1.000000	 1.093540	 35	 0.971429	 	 	 	 	 162.379583	 247.393071	 252.414986	 255.942711	 256.726923	 257.276088	 258.375117	 1.000000	 
MCD	 retrieval	 1	 0	 7	 8	 7	 fly	 8	 1	 1	 dirty_bathroom	 12	 4	 0.000000	 hit	 1.796811	 semantic_animated	 1.000000	 1.511574	 perceptual	 1.000000	 2.372877	 35	 0.971429	 	 	 	 	 162.379583	 259.892740	 261.694876	 265.225904	 266.742776	 267.292535	 269.670726	 1.000000	 
MCD	 retrieval	 1	 0	 8	 8	 8	 horse	 9	 1	 3	 budapest	 5	 2	 0.000000	 flash	 2.717864	 perceptual	 1.000000	 1.667823	 semantic_animated	 1.000000	 1.163226	 35	 0.971429	 	 	 	 	 162.379583	 270.875607	 273.598703	 277.125455	 278.798613	 279.342076	 280.510598	 1.000000	 
MCD	 encoding	 2	 1	 0	 9	 8	 gorilla	 8	 1	 3	 	 0	 0	 4.405542	 smash	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 517.368771	 520.752030	 525.163043	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 2	 0	 10	 8	 camera	 2	 1	 6	 	 0	 0	 5.652860	 allocate	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 526.385137	 529.168500	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 3	 0	 11	 8	 dress	 3	 2	 8	 	 0	 0	 0.000000	 harm	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 536.318320	 539.401570	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 4	 0	 12	 8	 phone	 11	 2	 6	 	 0	 0	 0.000000	 shake	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 547.684584	 551.117895	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 5	 0	 13	 8	 duck	 3	 1	 2	 	 0	 0	 0.000000	 fold	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 559.501103	 562.800800	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 6	 0	 14	 8	 watermelon	 16	 2	 5	 	 0	 0	 0.000000	 clap	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 571.167373	 574.200575	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 7	 0	 15	 8	 butterfly	 4	 2	 1	 	 0	 0	 0.000000	 blur	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 582.216952	 585.250297	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 encoding	 2	 8	 0	 16	 8	 toucan	 14	 2	 2	 	 0	 0	 0.000000	 stick	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 510.942178	 593.533370	 596.899979	 534.826947	 	 	 	 	 	 	 	 	 
MCD	 retrieval	 2	 0	 1	 16	 9	 toucan	 14	 2	 2	 nice_port	 18	 2	 0.000000	 stick	 1.955813	 perceptual	 1.000000	 1.248721	 semantic_animated	 1.000000	 0.784757	 37	 1.000000	 	 	 	 	 653.616211	 657.431635	 659.392744	 662.914694	 664.168666	 664.714655	 665.504648	 1.000000	 
MCD	 retrieval	 2	 0	 2	 16	 10	 watermelon	 16	 2	 5	 highland	 15	 1	 0.000000	 clap	 1.900019	 perceptual	 1.000000	 2.826778	 semantic_animated	 1.000000	 1.356188	 37	 1.000000	 	 	 	 	 653.616211	 666.631306	 668.536604	 672.064424	 674.896566	 675.431021	 676.792485	 1.000000	 
MCD	 retrieval	 2	 0	 3	 16	 11	 phone	 11	 2	 6	 storm	 26	 1	 0.000000	 shake	 8.265356	 semantic_animated	 0.000000	 4.201567	 perceptual	 1.000000	 4.587676	 37	 1.000000	 	 	 	 	 653.616211	 678.497719	 686.768334	 690.297338	 694.504256	 695.047203	 699.640128	 1.000000	 
MCD	 retrieval	 2	 0	 4	 16	 12	 dress	 3	 2	 8	 natural_night	 21	 1	 0.000000	 harm	 7.701685	 perceptual	 1.000000	 5.116451	 semantic_animated	 1.000000	 4.081960	 37	 1.000000	 	 	 	 	 653.616211	 700.597002	 708.303994	 711.830121	 716.951839	 717.496576	 721.583832	 1.000000	 
MCD	 retrieval	 2	 0	 5	 16	 13	 butterfly	 4	 2	 1	 hardware_shop	 18	 3	 0.000000	 blur	 3.868068	 perceptual	 1.000000	 1.420121	 semantic_animated	 1.000000	 1.277556	 37	 1.000000	 	 	 	 	 653.616211	 722.646336	 726.519716	 730.046285	 731.471630	 732.012761	 733.295603	 1.000000	 
MCD	 retrieval	 2	 0	 6	 16	 14	 duck	 3	 1	 2	 greenhouse	 14	 3	 0.000000	 fold	 1.913455	 semantic_animated	 1.000000	 2.583661	 perceptual	 1.000000	 1.482239	 37	 1.000000	 	 	 	 	 653.616211	 734.712818	 736.631636	 740.162506	 742.751480	 743.295901	 744.783433	 1.000000	 
MCD	 retrieval	 2	 0	 7	 16	 15	 camera	 2	 1	 6	 swimming_pool	 31	 3	 0.000000	 allocate	 1.246346	 semantic_animated	 1.000000	 2.711145	 perceptual	 1.000000	 1.100504	 37	 1.000000	 	 	 	 	 653.616211	 745.795842	 747.047401	 750.578893	 753.295306	 753.845619	 754.951322	 1.000000	 
MCD	 retrieval	 2	 0	 8	 16	 16	 gorilla	 8	 1	 3	 art_gallery	 1	 3	 0.000000	 smash	 13.967652	 semantic_animated	 1.000000	 5.107969	 perceptual	 1.000000	 2.137998	 37	 1.000000	 	 	 	 	 653.616211	 755.762092	 769.735046	 773.261649	 778.374912	 778.911588	 781.054878	 1.000000	 
MCD	 encoding	 3	 1	 0	 17	 16	 printer	 12	 1	 6	 	 0	 0	 0.000000	 dance	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 793.044519	 796.210997	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 2	 0	 18	 16	 mosquito	 12	 2	 1	 	 0	 0	 0.000000	 shift	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 804.477461	 807.477306	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 3	 0	 19	 16	 dolphin	 3	 1	 4	 	 0	 0	 0.000000	 twitch	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 815.243880	 818.160364	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 4	 0	 20	 16	 corn	 6	 1	 7	 	 0	 0	 0.000000	 fall	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 825.826914	 828.960070	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 5	 0	 21	 16	 pineapple	 13	 1	 5	 	 0	 0	 0.000000	 detect	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 837.209920	 840.276490	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 6	 0	 22	 16	 sport t-shirt	 15	 1	 8	 	 0	 0	 0.000000	 melt	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 848.226268	 851.459468	 	 	 	 	 	 	 	 	 	 
MCD	 encoding	 3	 7	 0	 23	 16	 ant	 1	 1	 1	 	 0	 0	 0.000000	 walk	 0.000000	 NO	 2.000000	 0.000000	 NO	 2.000000	 0.000000	 0	 0.000000	 788.635427	 859.145611	 862.394274	 	 	 	 	 	 	 	 	 	 
